"","year","month","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"1",2012,1,227134,10915,216219,101345,125789,1902,0,0,0,0,229036,10915,216219,101345,125789
"2",2012,2,204812,9839,194973,91537,113275,1849,0,0,0,0,206661,9839,194973,91537,113275
"3",2012,3,207858,9469,198389,92059,115799,1956,0,0,0,0,209814,9469,198389,92059,115799
"4",2012,4,201466,9323,192143,90458,111008,1939,0,0,0,0,203405,9323,192143,90458,111008
"5",2012,5,236216,10837,225379,104443,131773,2047,0,0,0,0,238263,10837,225379,104443,131773
"6",2012,6,240229,10728,229501,106092,134137,0,0,0,0,0,240229,10728,229501,106092,134137
"7",2012,7,241139,10791,230348,106376,134763,0,0,0,0,0,241139,10791,230348,106376,134763
"8",2012,8,250474,11248,239226,110701,139773,0,0,0,0,0,250474,11248,239226,110701,139773
"9",2012,9,224965,9896,215069,101160,123805,0,0,0,0,0,224965,9896,215069,101160,123805
"10",2012,10,233834,10488,223346,103897,129937,0,0,0,0,0,233834,10488,223346,103897,129937
"11",2012,11,218326,9393,208933,97948,120378,0,0,0,0,0,218326,9393,208933,97948,120378
"12",2012,12,234137,10265,223872,106612,127525,0,0,0,0,0,234137,10265,223872,106612,127525
"13",2013,1,230254,9762,220492,101904,128350,1972,0,0,0,0,232226,9762,220492,101904,128350
"14",2013,2,198463,8158,190305,88014,110449,1823,0,0,0,0,200286,8158,190305,88014,110449
"15",2013,3,209264,8231,201033,91407,117857,1938,0,0,0,0,211202,8231,201033,91407,117857
"16",2013,4,210143,8288,201855,92407,117736,1987,0,0,0,0,212130,8288,201855,92407,117736
"17",2013,5,245999,9410,236589,107403,138596,2140,0,0,0,0,248139,9410,236589,107403,138596
"18",2013,6,249140,9590,239550,108732,140408,0,0,0,0,0,249140,9590,239550,108732,140408
"19",2013,7,252931,9733,243198,110698,142233,0,0,0,0,0,252931,9733,243198,110698,142233
"20",2013,8,257499,10048,247451,111849,145650,0,0,0,0,0,257499,10048,247451,111849,145650
"21",2013,9,236958,8947,228011,103678,133280,0,0,0,0,0,236958,8947,228011,103678,133280
"22",2013,10,245838,9157,236681,107031,138807,0,0,0,0,0,245838,9157,236681,107031,138807
"23",2013,11,230828,8687,222141,101788,129040,0,0,0,0,0,230828,8687,222141,101788,129040
"24",2013,12,247976,9308,238668,109233,138743,0,0,0,0,0,247976,9308,238668,109233,138743
"25",2014,1,235384,8615,226769,102489,132895,2013,0,0,0,0,237397,8615,226769,102489,132895
"26",2014,2,209326,7699,201627,91441,117885,1858,0,0,0,0,211184,7699,201627,91441,117885
"27",2014,3,223615,13548,210067,96740,126875,2032,0,0,0,0,225647,13548,210067,96740,126875
"28",2014,4,220123,58158,161965,95487,124636,2041,0,0,0,0,222164,58158,161965,95487,124636
"29",2014,5,250524,78488,172036,107535,142989,2270,0,0,0,0,252794,78488,172036,107535,142989
"30",2014,6,260184,82042,178142,111051,149133,0,0,0,0,0,260184,82042,178142,111051,149133
"31",2014,7,259110,82974,176136,111095,148015,0,0,0,0,0,259110,82974,176136,111095,148015
"32",2014,8,259240,82958,176282,110589,148651,0,0,0,0,0,259240,82958,176282,110589,148651
"33",2014,9,240999,76837,164162,102917,138082,0,0,0,0,0,240999,76837,164162,102917,138082
"34",2014,10,243192,77362,165830,104315,138877,0,0,0,0,0,243192,77362,165830,104315,138877
"35",2014,11,226601,72383,154218,98109,128492,0,0,0,0,0,226601,72383,154218,98109,128492
"36",2014,12,252599,79612,172987,108995,143604,0,0,0,0,0,252599,79612,172987,108995,143604
"37",2015,1,232513,72812,159701,99105,133408,2136,0,0,0,0,234649,72812,159701,99105,133408
"38",2015,2,208647,65416,143231,88915,119732,1952,0,0,0,0,210599,65416,143231,88915,119732
"39",2015,3,222587,67581,155006,93413,129174,2126,0,0,0,0,224713,67581,155006,93413,129174
"40",2015,4,217843,66690,151153,92337,125506,2170,0,0,0,0,220013,66690,151153,92337,125506
"41",2015,5,242147,74263,167884,102284,139863,2238,0,0,0,0,244385,74263,167884,102284,139863
"42",2015,6,252195,76073,176122,105559,146636,0,0,0,0,0,252195,76073,176122,105559,146636
"43",2015,7,255603,77686,177917,107256,148347,0,0,0,0,0,255603,77686,177917,107256,148347
"44",2015,8,255207,78234,176973,106651,148556,0,0,0,0,0,255207,78234,176973,106651,148556
"45",2015,9,239363,72763,166600,100496,138867,0,0,0,0,0,239363,72763,166600,100496,138867
"46",2015,10,236586,71314,165272,99705,136881,0,0,0,0,0,236586,71314,165272,99705,136881
"47",2015,11,217492,66334,151158,93653,123839,0,0,0,0,0,217492,66334,151158,93653,123839
"48",2015,12,228167,69412,158755,99297,128870,0,0,0,0,0,228167,69412,158755,99297,128870
"49",2016,1,216203,66089,150114,94074,122129,1899,0,0,0,0,218102,66089,150114,94074,122129
"50",2016,2,190762,59103,131659,83510,107252,1734,0,0,0,0,192496,59103,131659,83510,107252
"51",2016,3,203909,61211,142698,86917,116992,1935,0,0,0,0,205844,61211,142698,86917,116992
"52",2016,4,197137,58778,138359,84968,112169,1916,0,0,0,0,199053,58778,138359,84968,112169
"53",2016,5,235400,69258,166142,99324,136076,2141,0,0,0,0,237541,69258,166142,99324,136076
"54",2016,6,254395,73507,180888,105333,149062,0,0,0,0,0,254395,73507,180888,105333,149062
"55",2016,7,249315,72635,176680,103542,145773,0,0,0,0,0,249315,72635,176680,103542,145773
"56",2016,8,262538,75375,187163,107843,154695,0,0,0,0,0,262538,75375,187163,107843,154695
"57",2016,9,246170,70262,175908,101156,145014,0,0,0,0,0,246170,70262,175908,101156,145014
"58",2016,10,242677,69105,173572,99520,143157,0,0,0,0,0,242677,69105,173572,99520,143157
"59",2016,11,229431,65763,163668,94425,135006,0,0,0,0,0,229431,65763,163668,94425,135006
"60",2016,12,240063,68080,171983,98993,141070,0,0,0,0,0,240063,68080,171983,98993,141070
"61",2017,1,230465,65067,165398,94155,136310,1938,0,0,0,0,232403,65067,165398,94155,136310
"62",2017,2,207599,58620,148979,83934,123665,1825,0,0,0,0,209424,58620,148979,83934,123665
"63",2017,3,220618,61553,159065,88121,132497,2108,0,0,0,0,222726,61553,159065,88121,132497
"64",2017,4,215370,59978,155392,87158,128212,2117,0,0,0,0,217487,59978,155392,87158,128212
"65",2017,5,246881,67955,178926,98923,147958,2208,0,0,0,0,249089,67955,178926,98923,147958
"66",2017,6,255364,69760,185604,101152,154212,0,0,0,0,0,255364,69760,185604,101152,154212
"67",2017,7,258419,71624,186795,103549,154870,0,0,0,0,0,258419,71624,186795,103549,154870
"68",2017,8,265383,73312,192071,105014,160369,0,0,0,0,0,265383,73312,192071,105014,160369
"69",2017,9,237190,65536,171654,94715,142475,0,0,0,0,0,237190,65536,171654,94715,142475
"70",2017,10,239997,66462,173535,95940,144057,0,0,0,0,0,239997,66462,173535,95940,144057
"71",2017,11,228961,62897,166064,91412,137549,0,0,0,0,0,228961,62897,166064,91412,137549
"72",2017,12,239813,65453,174360,96731,143082,0,0,0,0,0,239813,65453,174360,96731,143082
"73",2018,1,236403,63533,172870,93662,142741,2144,0,0,0,0,238547,63533,172870,93662,142741
"74",2018,2,207886,56573,151313,82067,125819,1775,0,0,0,0,209661,56573,151313,82067,125819
"75",2018,3,218384,58349,160035,85813,132571,2112,0,0,0,0,220496,58349,160035,85813,132571
"76",2018,4,213553,57329,156224,84466,129087,2011,0,0,0,0,215564,57329,156224,84466,129087
"77",2018,5,246951,65281,181670,96204,150747,2295,0,0,0,0,249246,65281,181670,96204,150747
"78",2018,6,251413,65885,185528,98221,153192,0,0,0,0,0,251413,65885,185528,98221,153192
"79",2018,7,246079,65494,180585,96685,149394,0,0,0,0,0,246079,65494,180585,96685,149394
"80",2018,8,253704,66680,187024,98300,155404,0,0,0,0,0,253704,66680,187024,98300,155404
"81",2018,9,228692,60433,168259,89498,139194,0,0,0,0,0,228692,60433,168259,89498,139194
"82",2018,10,232738,60628,172110,90290,142448,0,0,0,0,0,232738,60628,172110,90290,142448
"83",2018,11,221514,58260,163254,86298,135216,0,0,0,0,0,221514,58260,163254,86298,135216
"84",2018,12,235682,61534,174148,92865,142817,0,0,0,0,0,235682,61534,174148,92865,142817
"85",2019,1,224600,58926,165674,87910,136690,2001,0,0,0,0,226601,58926,165674,87910,136690
"86",2019,2,195661,51125,144536,75951,119710,1751,0,0,0,0,197412,51125,144536,75951,119710
"87",2019,3,206813,53137,153676,79345,127468,1980,0,0,0,0,208793,53137,153676,79345,127468
"88",2019,4,203840,51633,152207,78852,124988,1987,0,0,0,0,205827,51633,152207,78852,124988
"89",2019,5,226549,57137,169412,86915,139634,2079,0,0,0,0,228628,57137,169412,86915,139634
"90",2019,6,231514,58223,173291,88051,143463,0,0,0,0,0,231514,58223,173291,88051,143463
"91",2019,7,240930,60281,180649,91961,148969,0,0,0,0,0,240930,60281,180649,91961,148969
"92",2019,8,241129,61155,179974,91506,149623,0,0,0,0,0,241129,61155,179974,91506,149623
"93",2019,9,220227,55463,164764,83865,136362,0,0,0,0,0,220227,55463,164764,83865,136362
"94",2019,10,223301,55897,167404,85477,137824,0,0,0,0,0,223301,55897,167404,85477,137824
"95",2019,11,208577,52104,156473,80252,128325,0,0,0,0,0,208577,52104,156473,80252,128325
"96",2019,12,223580,55276,168304,86437,137143,0,0,0,0,0,223580,55276,168304,86437,137143
"97",2020,1,216409,53534,162875,83142,133267,1904,0,0,0,0,218313,53534,162875,83142,133267
"98",2020,2,196470,48667,147803,75252,121218,1746,0,0,0,0,198216,48667,147803,75252,121218
"99",2020,3,201603,50252,151351,77717,123886,1906,0,0,0,0,203509,50252,151351,77717,123886
"100",2020,4,196890,49062,147828,77001,119889,1888,0,0,0,0,198778,49062,147828,77001,119889
"101",2020,5,220660,55162,165498,85553,135107,2065,0,0,0,0,222725,55162,165498,85553,135107
"102",2020,6,227766,55977,171789,86998,140768,0,0,0,0,0,227766,55977,171789,86998,140768
"103",2020,7,229700,55998,173702,87180,142520,0,0,0,0,0,229700,55998,173702,87180,142520
"104",2020,8,231792,56356,175436,88081,143711,0,0,0,0,0,231792,56356,175436,88081,143711
"105",2020,9,214259,51430,162829,80887,133372,0,0,0,0,0,214259,51430,162829,80887,133372
"106",2020,10,213838,51014,162824,80999,132839,0,0,0,0,0,213838,51014,162824,80999,132839
"107",2020,11,203389,47834,155555,76937,126452,0,0,0,0,0,203389,47834,155555,76937,126452
"108",2020,12,220748,51081,169667,83878,136870,0,0,0,0,0,220748,51081,169667,83878,136870
